"price","bedrooms","bathrooms","sqft_living","floors","waterfront","condition","grade","age","renovated","basement_percent","lot_percent","grupo"
277500,3,2.25,1820,1,0,4,7,50,0,0,0.0928476686052444,"D"
250000,3,2,1660,1,0,3,7,29,0,0.391566265060241,0.126862820022927,"D"
384000,5,2.75,3220,2,0,3,9,15,0,0,0.394607843137255,"D"
305000,4,1.75,2370,1,0,3,7,47,0,0.383966244725738,0.233727810650888,"D"
265000,3,1.5,1780,1,0,4,7,48,0,0.286516853932584,0.174578265986661,"D"
254000,5,2,2080,1,0,5,7,55,0,0.163461538461538,0.129056275981882,"D"
541500,3,1.75,2320,1,0,4,8,55,0,0,0.0415420702992103,"D"
274000,5,1.75,1950,1,0,3,7,53,0,0.461538461538462,0.223623853211009,"D"
250000,4,2.25,1730,1,0,3,7,53,0,0,0.205952380952381,"D"
328000,3,2,2250,1.5,0,3,8,16,0,0,0.284665991902834,"D"
219000,3,1.5,1200,1,0,3,7,28,0,0,0.1,"D"
485000,4,2.5,3710,1,0,3,10,10,0,0.425876010781671,0.232820834640728,"D"
465000,3,3,2290,1,0,3,8,66,1,0.379912663755459,0.146794871794872,"D"
172500,3,1,1140,1,0,3,7,42,0,0,0.129545454545455,"D"
239950,3,2.5,1560,2,0,4,7,41,0,0,0.325,"D"
480000,4,2.5,3230,2,0,3,9,13,0,0.219814241486068,0.199740275802362,"D"
199950,2,1.75,870,1,0,4,6,68,0,0,0.0469331607056158,"D"
246000,3,1.75,1440,1,0,4,8,48,0,0,0.127152317880795,"D"
290000,5,2.5,2780,1,0,4,8,47,0,0.5,0.288023207625363,"D"
248000,3,1.75,1330,1,0,3,7,27,0,0,0.135286339131319,"D"
262500,3,1.75,2259,1.5,0,5,7,106,0,0.339973439575033,0.0841936565912564,"D"
370000,5,3,2670,1,0,3,8,24,0,0.47565543071161,0.269153225806452,"D"
310000,4,2.5,2130,2,0,3,8,27,0,0,0.236325307888605,"D"
274950,3,1.75,1840,1,0,3,8,25,0,0,0.110318364410336,"D"
289000,3,2,1850,1,0,3,8,26,0,0,0.193717277486911,"D"
252000,4,1.5,1550,1,0,4,7,46,0,0.32258064516129,0.0782828282828283,"D"
289950,3,2.5,1770,1,0,3,8,27,0,0,0.187301587301587,"D"
341780,4,2.75,2260,2,0,3,7,1,0,0,0.509009009009009,"D"
280000,4,2.5,2400,2,0,3,8,10,0,0,0.522193211488251,"D"
409000,4,2.75,3230,2,0,4,8,13,0,0,0.255315785313414,"D"
210000,3,1,1730,1,0,3,7,51,0,0.173410404624277,0.23994452149792,"D"
255000,3,1,1710,1,0,4,7,42,0,0,0.1425,"D"
314950,4,1.75,1890,1,0,4,7,46,0,0.317460317460317,0.196404447677439,"D"
215000,3,2,1760,1,0,5,7,67,0,0.375,0.189614307261366,"D"
205000,3,2,1410,1,0,3,7,29,0,0,0.168177480916031,"D"
335000,3,2.25,2060,1,0,4,8,38,0,0.223300970873786,0.0435352297223044,"D"
3e+05,3,1.5,1810,1,0,3,8,27,0,0,0.219873663751215,"D"
175000,3,1,1070,1,0,3,7,48,0,0,0.173588578844906,"D"
275000,4,2.75,2060,1,0,3,7,36,0,0.412621359223301,0.280272108843537,"D"
175000,3,1.75,1230,1,0,4,7,52,0,0,0.0942095588235294,"D"
499160,4,2.5,2628,2,0,3,9,1,0,0,0.229199372056515,"D"
270000,2,1,1780,1,0,4,9,60,0,0,0.0219696128164303,"D"
175000,3,1.5,1220,1,0,3,7,41,0,0,0.167123287671233,"D"
290000,4,2.5,2000,1,0,4,7,46,0,0.4,0.150375939849624,"D"
625000,3,1.75,3160,1,0,4,8,36,0,0.316455696202532,0.0414534959989505,"D"
320000,3,2.5,2280,2,0,3,8,16,0,0,0.307401914520696,"D"
